User,Book_ID,Rating
1,146,7
1,131,7
1,134,5
1,203,9
1,148,6
1,169,5
1,133,9
1,161,9
1,162,8
1,210,10
1,126,7
1,142,8
1,111,10
1,174,9
1,136,8
1,38,9
1,35,9
1,27,9
1,206,9
1,2,9
1,34,9
1,122,8
1,81,6
1,165,7
1,65,9
1,168,8
1,147,8
1,175,9
1,162,9
1,130,8
1,49,7
1,148,8
2,209,9
2,205,10
2,92,9
2,18,10
2,108,10
2,19,9
2,45,10
2,34,10
2,184,10
2,154,9
2,202,10
2,17,10
2,12,10
2,11,9
2,183,9
2,197,10
2,206,10
2,16,8
2,204,9
2,3,10
2,198,9
2,33,9
2,7,10
2,8,10
2,208,8
2,6,8
2,200,7
2,4,9
2,207,10
2,206,10
2,13,9
2,88,7
2,84,10
2,201,9
2,18,9
2,2,10
2,105,10
2,195,8
2,9,9
5,4,10
5,200,10
5,209,5
5,84,5
5,13,7
5,16,10
5,197,10
5,19,10
5,27,10
5,166,10
5,97,9
5,133,10
5,176,9
5,208,9
5,202,9
5,98,6
5,154,6
5,199,8
5,26,9
5,139,10
5,192,10
5,210,5
5,169,10
5,106,10
5,191,10
5,17,4
5,204,10
5,49,9
5,175,10
5,12,5
7,158,8
7,75,7
7,191,8
7,190,7
7,188,7
7,181,8
7,161,6
7,176,7
7,177,7
7,189,9
7,174,7
7,168,8
7,173,6
7,178,7
7,179,5
7,162,7
7,169,7
7,175,6
7,159,7
7,183,7
7,160,7
7,167,7
9,66,10
9,181,5
9,110,5
9,99,5
9,159,10
9,43,7
9,211,10
9,39,5
9,193,10
9,178,8
9,79,7
9,100,4
9,144,10
9,141,10
9,28,4
9,171,8
9,141,8
9,139,5
9,45,9
9,133,10
9,146,4
9,9,5
9,144,10
9,139,4
9,40,3
11,143,9
11,185,8
11,161,5
11,88,5
11,131,10
11,84,9
11,81,10
11,78,6
11,52,7
11,49,10
11,90,6
11,85,10
11,86,7
11,50,4
11,69,9
11,97,7
11,55,9
11,127,7
11,105,5
11,56,7
11,144,8
11,74,9
11,87,5
11,72,10
11,61,8
11,161,9
11,80,8
11,54,7
11,64,7
11,68,8
11,48,7
11,67,8
11,59,9
11,82,10
11,26,9
11,77,7
11,78,5
11,115,8
11,9,1
11,5,7
11,126,7
11,89,6
14,123,10
14,122,10
14,23,8
14,109,10
14,156,7
14,110,8
14,15,10
14,121,10
14,24,5
14,117,10
14,148,6
14,35,9
14,206,9
14,34,9
14,66,9
14,123,10
14,124,10
14,118,10
14,119,10
14,130,6
14,120,10
14,131,8
14,175,9
14,129,6
14,146,10
14,133,7
14,22,8
14,121,10
14,29,10
14,124,8
14,113,7
14,101,10
14,44,10
14,24,8
14,114,8
14,115,8
14,111,10
14,48,10
14,112,9
14,23,10
14,25,10
14,81,9
14,25,10
14,28,10
14,20,10
14,109,10
14,169,10
14,108,10
14,169,9
14,105,10
14,106,10
14,104,10
14,116,10
14,30,8
14,103,8
14,185,10
14,102,8
14,101,9
14,100,10
14,107,10
14,63,10
16,199,8
16,18,9
16,186,10
16,180,8
16,24,10
16,190,9
16,192,10
16,211,7
16,111,9
16,12,9
16,65,9
16,177,9
16,111,9
16,179,10
16,13,9
16,206,5
16,91,10
16,182,8
16,59,8
16,25,9
16,22,4
16,204,10
16,31,7
16,164,10
16,124,10
16,62,6
16,201,9
16,49,8
16,152,9
16,145,10
16,3,7
16,8,10
16,183,9
16,188,10
16,198,9
16,11,9
16,174,10
16,165,10
16,122,10
16,124,10
16,200,10
16,206,8
16,2,5
16,204,10
16,14,10
16,206,8
16,178,7
16,172,10
16,13,8
16,172,9
16,82,10
16,150,9
16,29,10
16,28,10
16,59,8
16,103,10
16,129,10
16,197,9
16,195,9
16,196,9
16,156,5
16,24,9
16,90,5
16,185,7
16,205,10
16,194,9
16,96,10
16,6,9
16,161,9
16,16,8
16,184,10
16,51,10
16,18,8
16,53,8
16,19,10
16,4,5
16,104,10
16,30,10
16,103,10
16,102,10
18,125,8
18,94,9
18,6,9
18,204,9
18,210,9
18,18,9
18,55,7
18,12,9
18,72,6
18,142,7
18,36,9
18,94,5
18,35,9
18,112,8
18,67,8
18,64,8
18,73,8
18,196,7
18,205,7
18,15,10
18,6,6
18,46,8
18,137,7
18,16,9
18,63,8
18,3,7
18,13,8
18,14,6
18,41,5
18,28,6
18,175,10
18,43,9
18,52,10
18,44,8
18,129,8
18,49,10
18,71,9
18,76,7
18,53,9
18,47,8
18,9,6
18,180,7
18,127,7
18,77,8
20,11,8
20,187,7
20,68,9
20,104,8
20,11,7
20,128,5
20,208,3
20,112,9
20,170,3
20,121,7
20,116,8
20,171,9
20,25,8
20,72,8
20,20,8
20,133,7
20,119,7
20,35,6
20,183,6
20,49,9
20,149,10
20,168,10
20,114,8
20,113,8
22,164,7
22,131,5
22,129,5
22,133,9
22,24,5
22,11,9
22,191,7
22,10,8
22,176,8
22,166,8
22,64,10
22,199,10
22,165,7
22,168,8
22,16,7
22,169,10
22,127,10
22,172,10
22,19,9
22,64,6
22,170,6
22,174,7
22,128,7
22,173,6
22,199,6
22,117,10
24,38,10
24,88,7
24,141,10
24,130,10
24,195,10
24,72,8
24,93,10
24,99,10
24,61,10
24,34,10
24,47,10
24,191,8
24,208,7
24,100,8
24,209,10
24,201,9
24,145,8
24,199,8
24,65,8
24,204,10
24,58,10
24,19,10
24,111,10
24,109,9
24,78,10
24,45,9
24,35,9
24,178,10
24,165,10
24,140,10
